,Student ID,Study Hours per Week,Attendance Rate,Previous Grades,Participation in Extracurricular Activities,Parent Education Level,Passed
25071,S25072,8.1,69.6,78.0,No,Associate,Yes
25073,S25074,8.8,48.8,49.0,No,Bachelor,Yes
25074,S25075,6.5,95.0,63.2,No,Bachelor,No
25077,S25078,10.4,83.0,61.4,Yes,High School,Yes
25078,S25079,15.1,87.5,55.9,Yes,High School,Yes
25079,S25080,14.6,63.9,46.0,Yes,Master,Yes
25080,S25081,7.2,52.1,61.5,Yes,Associate,Yes
25081,S25082,12.4,51.8,67.0,No,Bachelor,Yes
25082,S25083,4.4,40.7,66.2,No,Associate,No
25083,S25084,12.3,67.3,64.3,Yes,High School,No
25085,S25086,11.9,95.2,53.1,Yes,Associate,Yes
25088,S25089,5.5,55.0,62.6,Yes,Associate,Yes
25091,S25092,12.5,75.2,48.9,No,Associate,Yes
25092,S25093,12.9,68.6,54.6,No,Associate,Yes
25094,S25095,7.5,83.1,56.9,No,Bachelor,Yes
25096,S25097,11.3,51.6,65.8,Yes,High School,Yes
25098,S25099,5.6,92.1,36.1,Yes,Master,No
25102,S25103,9.5,73.5,59.0,Yes,High School,Yes
25103,S25104,15.4,52.9,64.9,Yes,Associate,Yes
25105,S25106,7.0,79.7,53.5,Yes,High School,No
25106,S25107,1.3,87.8,63.8,Yes,Associate,Yes
25107,S25108,4.0,38.2,77.8,Yes,Master,No
25108,S25109,22.0,56.1,63.6,Yes,High School,No
25109,S25110,13.0,77.8,67.7,Yes,Master,No
25110,S25111,14.8,46.9,79.8,No,Master,Yes
25112,S25113,13.8,83.6,90.4,No,Associate,No
25113,S25114,1.2,71.8,42.2,No,Master,Yes
25114,S25115,15.2,60.3,51.2,No,Master,Yes
25115,S25116,5.9,76.7,52.1,No,Bachelor,Yes
25119,S25120,10.4,81.5,85.6,Yes,Associate,No
25121,S25122,10.5,80.3,93.3,Yes,Associate,No
25122,S25123,14.8,77.6,52.6,No,Associate,No
25124,S25125,16.6,69.0,75.0,Yes,High School,No
25125,S25126,5.6,89.5,67.9,No,High School,Yes
25127,S25128,17.7,85.7,60.9,No,Bachelor,No
25129,S25130,15.3,56.2,72.2,Yes,High School,Yes
25130,S25131,19.9,68.6,70.0,No,Bachelor,Yes
25133,S25134,6.1,83.6,76.9,No,Bachelor,No
25136,S25137,17.2,66.3,64.5,Yes,Bachelor,No
25138,S25139,15.2,82.0,66.2,Yes,Bachelor,No
25141,S25142,15.6,80.6,82.7,Yes,Associate,No
25142,S25143,18.2,75.6,82.6,Yes,Associate,No
25147,S25148,4.3,62.2,60.8,No,Bachelor,Yes
25148,S25149,11.1,67.5,53.2,Yes,High School,No
25150,S25151,13.5,64.5,39.6,No,Master,No
25151,S25152,6.0,95.5,70.9,Yes,Master,Yes
25152,S25153,13.9,71.4,60.1,Yes,High School,Yes
25155,S25156,10.3,67.1,60.9,Yes,Bachelor,Yes
25156,S25157,0.3,49.1,71.1,No,Master,Yes
25158,S25159,11.7,58.6,43.3,Yes,Master,No
25162,S25163,16.6,81.5,77.7,No,Bachelor,Yes
25163,S25164,9.6,65.9,55.9,No,High School,No
25165,S25166,14.7,91.3,31.9,No,Associate,No
25174,S25175,8.3,65.5,74.4,Yes,Master,Yes
25176,S25177,11.4,65.7,72.4,No,Bachelor,No
25177,S25178,4.0,63.4,61.2,Yes,Master,Yes
25179,S25180,9.5,51.9,50.8,No,Master,Yes
25180,S25181,10.5,61.3,50.8,Yes,Bachelor,Yes
25181,S25182,13.5,55.5,47.5,No,Bachelor,No
25185,S25186,9.1,73.7,61.4,Yes,Bachelor,No
25186,S25187,5.4,75.6,62.6,Yes,Associate,Yes
25187,S25188,13.0,90.4,77.3,Yes,Associate,Yes
25189,S25190,10.6,55.4,32.6,Yes,Bachelor,Yes
25190,S25191,4.6,43.1,57.4,Yes,High School,No
25192,S25193,9.7,57.8,64.4,Yes,Bachelor,Yes
25194,S25195,2.1,65.8,93.6,No,Associate,Yes
25195,S25196,7.2,75.1,52.4,Yes,Bachelor,No
25196,S25197,8.0,71.6,55.8,No,Associate,No
25197,S25198,9.6,78.8,50.6,No,Associate,No
25199,S25200,8.9,95.8,55.0,No,Associate,Yes
25200,S25201,8.4,71.6,50.7,No,Associate,Yes
25201,S25202,4.8,82.3,60.6,No,High School,Yes
25202,S25203,9.4,77.2,78.0,Yes,High School,No
25205,S25206,5.6,62.0,78.9,No,High School,No
25207,S25208,6.0,89.6,72.4,No,Associate,No
25209,S25210,11.5,71.4,59.6,No,Associate,Yes
25210,S25211,11.2,86.6,61.8,Yes,Associate,No
25212,S25213,8.7,72.4,71.9,No,Master,No
25216,S25217,13.3,75.9,73.2,No,Associate,Yes
25217,S25218,2.0,71.1,70.8,Yes,Master,No
25218,S25219,7.0,55.6,55.6,Yes,Associate,Yes
25219,S25220,8.3,83.1,85.6,No,Master,Yes
25220,S25221,0.3,26.8,79.1,No,High School,Yes
25221,S25222,14.4,80.2,49.3,No,Associate,Yes
25223,S25224,20.3,58.7,60.2,Yes,Associate,Yes
25225,S25226,10.6,83.4,81.3,No,High School,Yes
25226,S25227,16.6,70.1,73.2,Yes,Bachelor,Yes
25227,S25228,8.7,77.8,82.7,No,Associate,Yes
25228,S25229,7.2,38.3,73.5,No,Bachelor,No
25230,S25231,15.7,93.8,33.4,No,Bachelor,Yes
25231,S25232,9.9,71.9,47.7,No,Associate,Yes
25234,S25235,10.8,69.3,45.9,Yes,Master,No
25235,S25236,10.8,92.3,44.2,Yes,Master,Yes
25237,S25238,18.1,32.2,60.1,No,Associate,Yes
25238,S25239,9.3,28.0,66.1,No,Associate,Yes
25239,S25240,18.1,60.8,83.7,Yes,Associate,Yes
25242,S25243,9.4,84.8,77.8,Yes,Master,No
25243,S25244,14.9,61.8,50.9,Yes,High School,No
25245,S25246,5.3,71.2,49.8,Yes,High School,Yes
25247,S25248,12.1,55.8,53.8,No,Bachelor,Yes
25248,S25249,5.5,66.6,88.1,No,Master,No
25249,S25250,9.7,84.9,66.3,No,Associate,Yes
25250,S25251,15.3,74.1,61.9,Yes,Master,No
25253,S25254,17.0,87.2,76.9,Yes,Associate,No
25255,S25256,15.1,97.0,65.1,Yes,High School,Yes
25260,S25261,2.7,79.5,61.5,No,Bachelor,Yes
25261,S25262,16.0,97.4,61.9,Yes,Associate,Yes
25262,S25263,18.2,47.4,79.5,Yes,Associate,No
25264,S25265,12.4,99.3,78.5,No,High School,Yes
25266,S25267,8.4,70.2,54.8,Yes,Associate,Yes
25268,S25269,13.3,49.4,52.8,Yes,Bachelor,Yes
25269,S25270,6.9,74.8,57.0,Yes,Master,Yes
25270,S25271,8.9,55.6,53.0,Yes,High School,Yes
25273,S25274,12.7,96.2,59.6,No,Bachelor,Yes
25274,S25275,10.7,81.2,67.2,No,Bachelor,Yes
25277,S25278,15.5,87.3,44.3,Yes,Master,No
25278,S25279,9.2,36.2,59.7,Yes,Master,No
25279,S25280,15.8,91.8,62.6,No,High School,No
25280,S25281,8.4,76.3,64.2,No,Master,No
25282,S25283,12.1,98.8,69.7,Yes,Master,Yes
25286,S25287,6.9,76.2,66.0,No,Associate,No
25288,S25289,14.2,88.9,81.4,No,Master,Yes
25289,S25290,3.7,84.2,70.6,No,High School,Yes
25292,S25293,5.7,62.2,66.0,No,Associate,No
25295,S25296,14.4,41.5,36.6,Yes,Master,No
25301,S25302,18.6,70.5,58.4,Yes,Bachelor,Yes
25302,S25303,3.6,82.9,57.8,Yes,High School,No
25304,S25305,3.0,71.2,50.3,Yes,High School,Yes
25307,S25308,7.6,83.2,84.4,No,Associate,No
25308,S25309,9.1,64.8,61.1,No,High School,No
25310,S25311,5.1,66.3,79.0,Yes,Associate,No
25311,S25312,12.5,72.9,29.8,Yes,Bachelor,No
25313,S25314,6.5,93.2,44.9,Yes,High School,Yes
25316,S25317,8.2,67.0,50.4,Yes,Master,Yes
25320,S25321,9.5,86.9,67.5,Yes,High School,No
25326,S25327,5.5,65.4,69.3,No,Associate,Yes
25328,S25329,1.1,91.9,29.2,No,Bachelor,No
25329,S25330,4.7,93.4,59.8,Yes,Master,No
25330,S25331,17.4,82.4,88.0,Yes,Bachelor,Yes
25331,S25332,13.2,59.5,61.2,No,Bachelor,Yes
25333,S25334,16.2,61.0,62.0,Yes,High School,No
25335,S25336,11.2,43.4,55.4,Yes,Master,Yes
25336,S25337,11.1,67.1,76.3,No,High School,No
25337,S25338,12.3,48.2,65.4,Yes,Associate,No
25338,S25339,12.5,85.1,53.3,Yes,Bachelor,Yes
25339,S25340,21.0,55.2,41.2,Yes,Associate,Yes
25342,S25343,3.8,73.2,68.1,Yes,High School,No
25343,S25344,9.7,83.3,51.9,Yes,Bachelor,Yes
25346,S25347,7.3,99.8,78.6,Yes,Bachelor,No
25348,S25349,3.5,59.6,46.4,Yes,Master,No
25349,S25350,5.2,85.8,64.7,Yes,High School,No
25351,S25352,7.5,88.1,76.8,No,Bachelor,No
25352,S25353,4.8,81.9,67.9,No,Master,Yes
25353,S25354,12.4,62.0,82.3,No,Bachelor,No
25357,S25358,7.1,85.8,49.4,No,Associate,Yes
25358,S25359,2.1,48.4,80.9,No,Associate,No
25359,S25360,0.7,84.8,50.9,Yes,Bachelor,No
25360,S25361,15.6,45.8,60.7,No,Master,No
25361,S25362,9.5,77.6,59.0,No,High School,No
25363,S25364,9.1,81.8,55.7,No,Bachelor,Yes
25367,S25368,6.2,32.4,54.4,Yes,Master,No
25368,S25369,7.0,64.8,66.5,Yes,Bachelor,No
25369,S25370,3.9,68.9,78.3,No,Bachelor,Yes
25371,S25372,8.8,74.5,66.3,Yes,Bachelor,Yes
25373,S25374,10.3,56.9,86.2,No,Associate,Yes
25375,S25376,11.2,58.3,56.5,Yes,Associate,Yes
25378,S25379,14.8,62.7,75.9,No,High School,Yes
25380,S25381,7.5,73.8,70.0,Yes,High School,Yes
25382,S25383,13.4,64.5,64.0,Yes,Master,Yes
25384,S25385,13.1,61.0,63.1,Yes,Associate,Yes
25388,S25389,3.1,61.9,81.1,No,Bachelor,Yes
25390,S25391,20.9,78.8,54.7,No,Bachelor,Yes
25393,S25394,2.8,82.1,53.6,No,High School,No
25397,S25398,13.2,61.2,55.7,No,Master,Yes
25398,S25399,14.2,73.3,81.0,Yes,Bachelor,Yes
25399,S25400,6.0,88.2,65.4,Yes,High School,No
25400,S25401,15.2,81.1,73.8,Yes,Bachelor,Yes
25401,S25402,7.3,54.8,81.1,Yes,Associate,Yes
25403,S25404,7.8,61.5,51.2,No,Associate,No
25405,S25406,17.8,49.0,71.5,Yes,Associate,No
25408,S25409,15.2,66.5,82.9,Yes,Master,Yes
25411,S25412,12.5,50.9,61.8,Yes,High School,Yes
25412,S25413,4.8,53.4,63.8,Yes,Associate,Yes
25413,S25414,12.2,59.1,65.8,Yes,High School,No
25415,S25416,18.0,70.4,65.2,No,Bachelor,Yes
25416,S25417,14.1,78.6,79.3,Yes,Bachelor,Yes
25418,S25419,16.3,85.1,56.7,No,Bachelor,Yes
25422,S25423,21.2,56.1,30.3,Yes,Associate,Yes
25423,S25424,4.6,44.4,45.5,No,Associate,No
25424,S25425,1.5,64.6,38.0,No,High School,Yes
25425,S25426,2.8,0.5,71.4,Yes,Master,Yes
25428,S25429,9.2,55.5,66.9,No,Master,No
25432,S25433,12.7,69.9,81.4,Yes,High School,Yes
25433,S25434,7.8,61.5,55.9,No,High School,Yes
25435,S25436,11.2,46.2,43.8,No,Master,No
25436,S25437,14.3,80.9,49.2,No,Master,No
25437,S25438,6.0,51.0,82.6,Yes,Associate,Yes
25440,S25441,14.6,54.7,44.6,No,High School,No
25444,S25445,12.5,73.0,67.4,No,Bachelor,No
25445,S25446,14.3,61.9,54.6,Yes,Associate,Yes
25447,S25448,22.5,38.6,78.0,No,Bachelor,No
25451,S25452,14.4,75.5,88.8,Yes,Bachelor,No
25453,S25454,3.3,52.9,78.1,Yes,High School,No
25454,S25455,6.8,87.7,43.7,Yes,Master,No
25459,S25460,8.8,78.6,80.1,No,High School,No
25464,S25465,12.5,91.3,69.3,No,Master,Yes
25465,S25466,5.2,63.0,66.9,Yes,Bachelor,Yes
25466,S25467,11.3,37.7,68.9,No,Bachelor,Yes
25467,S25468,12.7,70.9,68.0,No,Master,Yes
25468,S25469,6.6,67.8,60.4,No,High School,No
25470,S25471,10.4,96.0,80.2,Yes,High School,Yes
25471,S25472,8.2,99.3,77.7,No,Associate,No
25475,S25476,12.1,68.9,79.4,Yes,Associate,No
25476,S25477,16.3,68.0,57.7,Yes,Master,Yes
25483,S25484,8.4,75.0,75.6,Yes,Bachelor,No
25484,S25485,11.9,81.1,51.6,Yes,Bachelor,No
25491,S25492,20.0,92.8,67.4,Yes,Bachelor,No
25492,S25493,8.5,74.0,69.4,No,High School,No
25493,S25494,5.8,89.3,61.5,Yes,High School,No
25495,S25496,5.0,89.3,72.9,No,Bachelor,Yes
25496,S25497,10.6,73.5,71.5,Yes,Bachelor,No
25497,S25498,11.5,92.3,78.5,No,Master,No
25498,S25499,11.0,98.0,68.6,No,Associate,Yes
25499,S25500,9.9,43.3,62.8,No,Master,No
25500,S25501,10.7,82.2,69.8,No,Bachelor,No
25502,S25503,13.1,87.4,54.3,Yes,Bachelor,No
25504,S25505,11.0,56.4,50.5,No,High School,Yes
25505,S25506,1.9,80.2,46.3,Yes,Associate,Yes
25506,S25507,0.9,84.8,78.3,Yes,Master,No
25508,S25509,7.3,50.3,86.4,No,High School,Yes
25510,S25511,11.2,97.4,74.1,Yes,Master,No
25513,S25514,18.9,77.8,94.0,Yes,Bachelor,No
25514,S25515,17.5,87.6,50.8,No,Bachelor,No
25516,S25517,14.8,60.9,54.4,Yes,Associate,Yes
25518,S25519,9.3,67.6,64.1,Yes,Master,Yes
25519,S25520,4.5,53.9,68.6,Yes,Associate,No
25520,S25521,1.5,62.7,64.7,No,Associate,Yes
25529,S25530,10.9,97.1,42.9,No,High School,Yes
25531,S25532,15.5,61.0,76.5,No,Associate,Yes
25534,S25535,11.5,62.9,85.2,No,Associate,No
25536,S25537,2.7,84.1,57.6,No,Bachelor,Yes
25538,S25539,11.2,46.4,74.3,No,Associate,Yes
25539,S25540,12.3,46.9,80.2,Yes,Associate,Yes
25541,S25542,3.7,65.7,55.7,No,Associate,Yes
25543,S25544,19.8,81.4,57.1,No,Master,Yes
25548,S25549,6.6,85.3,79.0,Yes,Associate,Yes
25549,S25550,12.6,53.5,69.9,No,High School,Yes
25550,S25551,11.0,66.2,60.6,No,Associate,No
25551,S25552,5.7,55.0,62.1,No,High School,No
25552,S25553,6.7,87.8,76.0,Yes,Bachelor,No
25553,S25554,12.3,95.5,49.6,No,High School,Yes
25554,S25555,14.7,88.4,79.3,Yes,Bachelor,Yes
25555,S25556,8.4,78.3,36.0,No,Master,Yes
25556,S25557,9.7,82.6,66.1,Yes,Master,No
25557,S25558,13.3,60.2,55.0,No,Master,No
25559,S25560,8.5,75.1,30.1,Yes,Associate,No
25562,S25563,23.3,42.6,77.5,Yes,Associate,Yes
25563,S25564,9.0,92.6,83.8,Yes,Bachelor,Yes
25565,S25566,18.4,32.8,25.1,No,High School,Yes
25567,S25568,11.8,70.7,80.0,Yes,Bachelor,Yes
25569,S25570,1.9,65.2,62.7,No,Master,Yes
25571,S25572,10.2,81.4,57.0,No,Master,Yes
25573,S25574,19.5,72.9,58.8,No,Master,No
25574,S25575,8.8,69.7,51.5,No,Master,Yes
25576,S25577,7.6,83.5,41.2,Yes,Master,No
25578,S25579,12.5,57.9,70.1,No,Bachelor,No
25584,S25585,8.3,64.7,49.5,No,High School,Yes
25587,S25588,14.3,78.0,61.8,No,Associate,Yes
25591,S25592,12.1,78.0,79.9,No,Bachelor,Yes
25592,S25593,15.4,71.6,76.4,Yes,High School,Yes
25594,S25595,16.8,46.5,53.5,Yes,High School,Yes
25597,S25598,14.4,55.6,59.7,Yes,High School,Yes
25601,S25602,11.6,80.8,67.3,Yes,Associate,No
25604,S25605,7.5,31.6,50.3,No,Master,No
25607,S25608,18.8,80.9,68.4,No,Master,Yes
25611,S25612,5.0,85.5,69.6,Yes,Associate,Yes
25613,S25614,10.4,52.7,86.4,No,High School,No
25616,S25617,9.3,82.5,84.6,Yes,Associate,No
25620,S25621,15.6,78.1,74.7,No,Associate,No
25625,S25626,12.7,31.1,65.5,Yes,Bachelor,Yes
25626,S25627,12.6,59.1,55.8,No,Bachelor,Yes
25628,S25629,9.3,77.1,90.1,No,High School,No
25630,S25631,16.7,36.7,59.4,No,Bachelor,Yes
25632,S25633,5.6,88.0,58.3,Yes,Master,No
25633,S25634,12.3,57.0,46.1,No,Master,Yes
25636,S25637,8.1,51.6,61.3,Yes,Associate,Yes
25637,S25638,6.7,81.9,49.4,Yes,Bachelor,Yes
25639,S25640,14.0,82.2,52.9,No,Master,No
25641,S25642,16.3,40.4,68.9,Yes,Master,Yes
25649,S25650,11.2,96.4,65.8,No,Bachelor,Yes
25657,S25658,20.4,91.1,78.5,Yes,High School,Yes
25658,S25659,8.1,53.6,50.4,No,Bachelor,No
25659,S25660,10.8,53.9,74.6,No,Associate,Yes
25662,S25663,10.9,79.3,93.6,No,Bachelor,No
25665,S25666,11.2,69.8,79.6,Yes,Bachelor,Yes
25667,S25668,9.7,65.8,79.2,No,High School,No
25669,S25670,17.2,89.0,97.5,No,High School,No
25670,S25671,14.3,75.4,46.8,No,Associate,No
25671,S25672,17.2,45.0,67.4,Yes,High School,No
25673,S25674,13.0,74.2,82.9,No,High School,No
25675,S25676,19.2,79.6,69.3,Yes,High School,Yes
25680,S25681,12.9,67.3,91.4,Yes,High School,No
25681,S25682,8.0,98.2,89.2,Yes,Bachelor,Yes
25684,S25685,9.8,75.0,62.0,Yes,Associate,No
25687,S25688,11.2,69.8,87.1,No,Master,Yes
25688,S25689,11.0,67.0,72.9,Yes,Associate,No
25690,S25691,11.9,96.1,68.6,Yes,Bachelor,Yes
25691,S25692,18.8,54.8,35.6,Yes,Associate,Yes
25692,S25693,7.0,29.2,48.0,No,Master,No
25693,S25694,10.2,95.9,60.5,Yes,Associate,No
25695,S25696,11.5,48.6,61.3,Yes,Master,No
25698,S25699,2.7,75.0,59.1,Yes,High School,Yes
25699,S25700,10.5,68.0,47.9,Yes,High School,No
25700,S25701,12.1,72.6,71.7,Yes,High School,Yes
25702,S25703,12.3,59.2,67.1,No,Associate,No
25712,S25713,7.0,37.6,63.3,Yes,High School,No
25713,S25714,16.6,84.6,50.4,No,Bachelor,Yes
25714,S25715,9.9,51.2,42.5,Yes,Bachelor,No
25715,S25716,2.8,62.7,80.2,No,Bachelor,No
25716,S25717,21.6,76.5,31.3,No,Associate,No
25718,S25719,7.0,74.4,67.1,No,Master,Yes
25720,S25721,12.1,45.5,48.7,Yes,Associate,Yes
25721,S25722,7.7,80.5,54.9,No,Master,Yes
25724,S25725,5.5,35.0,78.2,Yes,Associate,Yes
25725,S25726,10.0,43.9,64.3,Yes,Master,No
25727,S25728,9.3,75.8,67.1,Yes,Associate,No
25728,S25729,9.8,85.4,89.4,No,Master,Yes
25732,S25733,9.2,98.7,83.3,Yes,Bachelor,No
25733,S25734,9.1,78.6,64.7,Yes,Master,No
25734,S25735,10.4,78.3,64.7,No,Bachelor,No
25736,S25737,5.5,79.3,59.7,No,Associate,Yes
25737,S25738,17.3,79.8,40.0,Yes,Associate,Yes
25738,S25739,12.1,98.3,65.4,Yes,Master,No
25740,S25741,16.1,72.3,59.8,No,High School,Yes
25741,S25742,4.1,47.8,63.9,No,High School,Yes
25742,S25743,12.6,65.7,70.9,No,Bachelor,No
25743,S25744,12.2,68.4,59.5,Yes,Associate,No
25744,S25745,5.3,69.5,62.0,No,High School,No
25745,S25746,12.3,91.2,66.9,Yes,Bachelor,No
25748,S25749,14.3,33.8,96.8,No,Associate,No
25749,S25750,7.1,87.0,71.9,Yes,Master,No
25752,S25753,6.9,96.9,47.9,No,Master,No
25756,S25757,1.0,62.9,86.1,No,High School,Yes
25759,S25760,11.4,94.0,68.5,Yes,High School,No
25761,S25762,8.2,89.5,47.0,Yes,Associate,Yes
25762,S25763,19.8,34.9,82.9,Yes,Associate,No
25765,S25766,11.4,94.5,64.5,No,Bachelor,Yes
25767,S25768,9.9,98.9,52.6,No,Master,Yes
25768,S25769,17.3,50.9,56.3,Yes,Master,No
25772,S25773,5.6,75.1,53.1,Yes,Associate,No
25774,S25775,4.1,75.7,75.1,No,Master,No
25775,S25776,13.8,49.3,94.0,No,Bachelor,Yes
25776,S25777,7.1,32.8,79.4,Yes,Bachelor,No
25778,S25779,22.3,61.9,57.5,No,High School,Yes
25779,S25780,7.1,64.5,65.0,No,Master,No
25781,S25782,18.4,72.3,40.5,No,Bachelor,No
25783,S25784,15.7,78.2,69.7,No,High School,No
25785,S25786,3.4,80.1,50.5,Yes,Bachelor,Yes
25786,S25787,18.5,31.8,61.6,No,Master,No
25787,S25788,14.6,58.6,54.8,No,Master,No
25788,S25789,14.6,69.3,63.4,Yes,Bachelor,Yes
25790,S25791,13.0,50.1,72.9,Yes,Master,No
25794,S25795,3.1,55.1,71.6,Yes,Bachelor,Yes
25798,S25799,8.9,87.0,52.8,No,Associate,No
25800,S25801,10.0,78.0,89.0,No,Bachelor,No
25802,S25803,14.0,92.1,39.6,No,Master,No
25803,S25804,12.7,85.5,32.2,Yes,Bachelor,No
25806,S25807,14.0,99.1,55.6,Yes,Associate,Yes
25807,S25808,14.1,57.7,68.9,No,Master,Yes
25808,S25809,9.1,68.1,56.2,No,Associate,No
25809,S25810,7.9,71.8,65.1,Yes,Master,No
25810,S25811,15.8,91.3,60.6,Yes,Associate,No
25813,S25814,9.3,92.6,49.5,Yes,Bachelor,Yes
25814,S25815,4.8,86.2,81.6,No,High School,Yes
25815,S25816,18.1,36.0,76.5,Yes,High School,Yes
25816,S25817,10.6,88.2,68.2,No,Master,Yes
25817,S25818,6.4,45.5,77.0,Yes,Bachelor,No
25818,S25819,3.0,62.3,66.1,Yes,High School,Yes
25819,S25820,3.5,67.7,39.4,Yes,Associate,Yes
25821,S25822,19.6,62.0,72.3,No,Master,Yes
25822,S25823,7.1,54.2,38.9,Yes,High School,No
25823,S25824,17.2,85.2,52.9,Yes,Master,No
25824,S25825,9.3,42.7,54.3,No,Master,No
25825,S25826,4.1,64.4,68.8,Yes,High School,Yes
25826,S25827,7.6,90.8,62.0,No,Associate,No
25827,S25828,3.6,82.9,67.8,Yes,Master,Yes
25828,S25829,5.7,47.3,72.2,No,Master,No
25829,S25830,5.6,36.4,70.4,No,Bachelor,No
25831,S25832,17.6,31.4,67.5,No,Master,Yes
25832,S25833,11.1,76.8,50.1,Yes,Master,No
25837,S25838,24.8,79.8,55.1,Yes,Master,No
25838,S25839,10.9,70.5,63.9,No,Bachelor,No
25839,S25840,7.1,61.0,42.2,Yes,Master,Yes
25840,S25841,0.3,68.0,43.9,No,Master,No
25843,S25844,17.5,47.2,49.3,No,High School,Yes
25847,S25848,12.2,80.7,45.2,No,High School,Yes
25848,S25849,13.3,96.1,75.4,Yes,Bachelor,No
25852,S25853,7.4,75.4,54.4,No,Bachelor,Yes
25855,S25856,9.1,81.6,66.7,No,Bachelor,Yes
25856,S25857,9.1,87.1,66.8,No,High School,No
25859,S25860,4.9,47.5,43.2,No,Associate,No
25860,S25861,17.2,95.4,70.6,No,Associate,Yes
25862,S25863,15.5,76.5,66.0,Yes,Master,No
25863,S25864,7.2,92.8,91.0,No,Master,No
25865,S25866,11.1,82.2,69.5,Yes,Master,Yes
25866,S25867,11.0,87.7,69.8,Yes,Bachelor,No
25867,S25868,13.4,64.5,35.9,Yes,Bachelor,Yes
25869,S25870,13.9,43.6,62.3,No,High School,Yes
25872,S25873,11.3,60.6,72.8,Yes,Associate,Yes
25873,S25874,7.2,77.8,51.0,No,Associate,Yes
25874,S25875,4.5,81.0,79.2,Yes,Master,Yes
25876,S25877,10.9,97.6,81.2,Yes,Bachelor,Yes
25877,S25878,11.2,81.4,64.4,Yes,High School,Yes
25879,S25880,16.5,76.8,75.4,Yes,Associate,Yes
25882,S25883,10.5,62.0,75.3,No,Associate,No
25883,S25884,13.8,64.1,40.2,Yes,Bachelor,Yes
25884,S25885,12.4,71.8,55.0,Yes,Bachelor,No
25888,S25889,17.3,96.5,79.4,No,Bachelor,Yes
25894,S25895,13.6,53.0,96.3,No,Associate,Yes
25896,S25897,11.9,70.7,84.2,No,High School,No
25901,S25902,12.2,90.8,75.6,No,Master,Yes
25907,S25908,7.0,35.6,61.2,Yes,Bachelor,Yes
25910,S25911,10.5,78.8,52.4,Yes,Master,Yes
25911,S25912,6.4,72.7,82.7,No,High School,Yes
25913,S25914,11.5,50.6,66.8,Yes,High School,No
25915,S25916,14.3,81.2,57.8,No,Associate,No
25918,S25919,2.7,75.9,87.6,No,High School,No
25922,S25923,6.2,55.5,61.3,Yes,Bachelor,Yes
25925,S25926,2.4,60.5,56.1,No,Master,Yes
25927,S25928,17.1,87.7,72.5,No,Master,No
25928,S25929,16.2,77.9,61.6,Yes,Master,No
25930,S25931,10.7,33.8,50.1,Yes,Bachelor,No
25931,S25932,4.2,86.2,58.9,No,Bachelor,No
25932,S25933,16.6,78.9,76.8,No,Associate,No
25934,S25935,14.2,97.7,71.8,No,Bachelor,Yes
25935,S25936,16.8,45.4,43.2,Yes,High School,Yes
25937,S25938,14.8,49.0,68.7,Yes,High School,No
25938,S25939,19.2,91.7,55.7,Yes,Master,No
25942,S25943,6.3,89.1,22.5,No,Associate,No
25943,S25944,6.2,95.2,51.4,No,Associate,No
25945,S25946,9.2,41.6,75.9,No,Associate,Yes
25946,S25947,11.6,78.1,82.0,No,Master,Yes
25948,S25949,9.5,75.0,49.1,No,Bachelor,No
25949,S25950,15.2,57.8,59.4,Yes,Associate,Yes
25955,S25956,8.5,83.5,41.4,Yes,Bachelor,Yes
25957,S25958,12.2,74.1,67.0,No,Associate,Yes
25958,S25959,12.7,67.4,61.6,Yes,Master,No
25969,S25970,16.6,67.2,55.7,Yes,Bachelor,Yes
25970,S25971,3.5,92.1,62.4,No,Bachelor,Yes
25971,S25972,4.4,78.3,64.4,Yes,Master,No
25974,S25975,9.6,74.4,57.6,No,Bachelor,Yes
25975,S25976,4.4,62.3,83.4,No,Bachelor,No
25981,S25982,16.1,49.5,95.8,No,Associate,Yes
25983,S25984,17.8,48.1,91.4,Yes,Bachelor,Yes
25984,S25985,15.2,67.8,78.5,Yes,Master,Yes
25987,S25988,10.4,42.6,62.7,Yes,Master,No
25988,S25989,4.9,94.7,65.6,Yes,Master,No
25989,S25990,9.5,99.6,48.1,Yes,High School,Yes
25993,S25994,8.4,96.9,75.9,No,High School,Yes
25995,S25996,8.8,75.9,93.6,No,Master,No
25998,S25999,2.0,98.6,45.1,No,Bachelor,No
25999,S26000,8.5,78.4,40.8,Yes,Bachelor,No
26003,S26004,10.7,86.0,48.6,No,Associate,Yes
26004,S26005,12.6,63.8,65.1,Yes,High School,Yes
26005,S26006,10.4,99.8,57.6,No,High School,No
26008,S26009,14.1,96.8,69.8,No,Bachelor,Yes
26009,S26010,12.8,95.9,48.1,Yes,Bachelor,Yes
26010,S26011,15.0,80.5,62.9,Yes,Associate,No
26011,S26012,11.2,52.1,90.4,Yes,Bachelor,No
26016,S26017,17.9,75.7,51.5,Yes,Master,No
26017,S26018,17.6,43.2,54.7,No,Associate,Yes
26019,S26020,12.6,51.7,62.1,No,High School,Yes
26020,S26021,13.5,81.5,77.2,No,Associate,No
26021,S26022,14.9,43.6,82.7,No,Bachelor,Yes
26023,S26024,8.8,96.7,62.6,No,Master,Yes
26024,S26025,16.6,75.4,61.5,No,Master,No
26025,S26026,11.7,73.7,53.0,Yes,High School,No
26026,S26027,13.3,91.2,80.0,Yes,High School,Yes
